Curso,Disciplina,Ementa,Conteudo_Programatico
TÉCNICO EM MECÂNICA,"Fundamentos da
Comunicação Oral e Escrita","Desenvolvimento das habilidades de
comunicação aplicadas ao ambiente
técnico e industrial.",Redação técnica | Apresentações orais | Relatórios e documentação técnica | Vocabulário técnico | Comunicação em equipes
TÉCNICO EM MECÂNICA,Informática Básica,"Introdução à informática e uso de
softwares aplicados à mecânica.",Sistema operacional | Pacote Office | Softwares de CAD | Segurança digital | Pesquisa técnica
TÉCNICO EM MECÂNICA,Desenho Técnico,"Elaboração e interpretação de
desenhos mecânicos.",Normas e simbologia | Vistas e cortes | Escalas e cotagem | Leitura de projetos mecânicos | Desenho assistido por computador
TÉCNICO EM MECÂNICA,Eletricidade,"Fundamentos de eletricidade
aplicados à mecânica industrial.",Grandezas elétricas | Circuitos elétricos | Leis de Ohm e Kirchhoff | Dispositivos de proteção | Segurança em instalações
TÉCNICO EM MECÂNICA,Automação Industrial,"Aplicação de sistemas automáticos
em processos mecânicos.",Sensores e atuadores | CLPs | Sistemas de controle | Automação de linhas de produção | Integração mecânica
TÉCNICO EM MECÂNICA,"Sistemas Digitais e
Microprocessador","Conceitos e aplicações de sistemas
digitais no setor mecânico.",Sistemas de numeração | Portas lógicas | Microprocessadores | Interfaces de comunicação | Aplicações na automação mecânica
TÉCNICO EM MECÂNICA,"Materiais de Construção
Mecânica","Propriedades e aplicações dos
materiais utilizados na construção
mecânica.",Classificação dos materiais | Metais ferrosos e não ferrosos | Polímeros e compósitos | Tratamentos térmicos | Seleção de materiais
TÉCNICO EM MECÂNICA,Hidráulica e Pneumática,"Princípios e aplicações de sistemas
hidráulicos e pneumáticos.",Propriedades dos fluidos | Componentes hidráulicos e | pneumáticos | Simbologia
TÉCNICO EM MECÂNICA,Processos de Fabricação I,"Estudo dos processos de fabricação
mecânica.",Usinagem | Fundição | Soldagem | Conformação mecânica | Critérios de escolha de processos
TÉCNICO EM MECÂNICA,Processos de Fabricação II,"Aprofundamento em processos e
controle de fabricação mecânica.",Processos não convencionais | Usinagem de alta precisão | Automação na fabricação | Controle de qualidade | Otimização de processos
TÉCNICO EM MECÂNICA,Componentes de Máquinas,"Estudo e dimensionamento dos
elementos de máquinas.",Engrenagens | Eixos e mancais | Parafusos e uniões | Molas e acoplamentos | Critérios de dimensionamento
TÉCNICO EM MECÂNICA,Máquinas Térmicas,"Funcionamento e aplicação de
máquinas térmicas na indústria.",Princípios da termodinâmica | Motores de combustão | Turbinas | Compressores | Manutenção de máquinas térmicas
TÉCNICO EM MECÂNICA,Eletrônica Geral,"Fundamentos de eletrônica aplicados
à mecânica industrial.",Componentes eletrônicos | Circuitos básicos | Instrumentos de medição | Eletrônica de potência | Aplicações na automação mecânica
TÉCNICO EM MECÂNICA,Metrologia Dimensional,"Medição e controle dimensional de
peças mecânicas.",Princípios de metrologia | Instrumentos de medição | Calibração e ajustes | Tolerâncias | Controle dimensional em produção
TÉCNICO EM MECÂNICA,Mecânica Técnica,"Análise de forças e movimentos
aplicados a sistemas mecânicos.",Estática e dinâmica | Cálculo de esforços | Momento e torque | Resistência dos materiais | Aplicações práticas
TÉCNICO EM MECÂNICA,"Manutenção e Instalação de
Equipamentos","Técnicas de instalação e manutenção
de máquinas e equipamentos.",Procedimentos de instalação | Manutenção preventiva e corretiva | Diagnóstico de falhas | Segurança na manutenção | Documentação técnica
TÉCNICO EM MECÂNICA,"Planejamento e Técnica da
Manutenção","Organização e gestão das atividades
de manutenção.",Tipos de manutenção | Planejamento e programação
TÉCNICO EM MECÂNICA,Gestão de Qualidade,"Princípios e práticas de gestão da
qualidade na produção mecânica.",Normas de qualidade | Ferramentas de controle | Controle estatístico de processos | Auditorias de qualidade | Melhoria contínua
TÉCNICO EM MECÂNICA,Autocad,"Uso do AutoCAD na elaboração de
projetos mecânicos.",Interface e comandos básicos | Criação e edição de desenhos | Camadas e blocos | Cotagem e anotações | Impressão de projetos
