Curso,Disciplina,Aula,Título da Aula,Objetivo de Aprendizagem,Conteúdo Estruturado,Conceitos-Chave,Exemplos Práticos,Exercícios,Nível de Dificuldade,Pré-requisitos,Carga Horária,Roteiro de Vídeo,Referências Técnicas
Técnico em Enfermagem,Português,1,Introdução à Comunicação,Compreender a comunicação como instrumento técnico-terapêutico de precisão.,Introdução ao tema: A comunicação efetiva é fundamental e deve permear todos os encontros .  Fundamentação teórica: Instrumento técnico-terapêutico .  Aplicação prática: Fortalecimento de vínculo .  Erros comuns: Falta de clareza .  Resumo final: Processo de mão dupla.,Comunicação efetiva; Instrumento técnico-terapêutico.  +1,Ajustar a linguagem à idade e cultura da pessoa para garantir o entendimento correto da terapia.,1. Por que a comunicação é considerada uma habilidade central para os profissionais de enfermagem?.,Básico,Nenhum,10 minutos,"Abertura: ""A comunicação é tão importante quanto o cuidado em si"" .  Explicação didática progressiva: A troca de informações como espinha dorsal da segurança .  +1Exemplo prático narrado: Uma consulta com foco na clareza do vocabulário .  Recapitulação: A comunicação de mão dupla.  Encerramento: Interação gera segurança.",Tratado Multidimensional; Guia de Habilidades de Comunicação.  +1
Técnico em Enfermagem,Português,2,Fundamentos Gramaticais,Aplicar a competência linguística para evitar ambiguidades em registros.,Introdução ao tema: A competência linguística como ferramenta crítica .  Fundamentação teórica: Regras gramaticais e semântica .  Aplicação prática: Redação objetiva e padronizada .  Erros comuns: Interpretações errôneas por falta de clareza .  Resumo final: Clareza é um imperativo de segurança.,Competência linguística; Semântica do cuidado.  +1,Evitar ambiguidades na redação de doses ou condutas no prontuário do paciente.,1. De que forma os fundamentos gramaticais impactam a segurança do paciente?.,Intermediário,Aula 1,12 minutos,"Abertura: ""Uma vírgula pode alterar um tratamento inteiro.""Explicação didática progressiva: As bases gramaticais na enfermagem .  Exemplo prático narrado: O impacto de um prontuário mal estruturado .  Recapitulação: A escrita como instrumento de cuidado.Encerramento: A segurança mora nos detalhes da escrita.  ",Tratado Multidimensional da Prática de Enfermagem.
Técnico em Enfermagem,Português,3,Redação de Relatórios,Capacitar o aluno a redigir relatórios cronológicos baseados na norma culta.,"Introdução ao tema: O relatório como documento contínuo do cuidado.Fundamentação teórica: Norma culta e estruturação de fatos .  Aplicação prática: Relato cronológico com data, hora, intervenções e respostas .  Erros comuns: Uso de abreviações não padronizadas.  Resumo final: O relatório reflete a qualidade do cuidado diário.",Relato cronológico; Norma culta.  +1,"O registro correto de uma alteração clínica seguida de intervenção, registrando hora exata e a resposta do indivíduo.  ",1. Quais são os elementos obrigatórios na estrutura de um relatório de enfermagem?.,Alto,Aula 2,15 minutos,"Abertura: ""O que não está escrito, não foi feito.""Explicação didática progressiva: Estruturação de data, hora e fatos cronológicos .  Exemplo prático narrado: Redigindo a passagem de plantão perfeitamente.  Recapitulação: A regra de ouro da documentação.Encerramento: Clareza e padrão salvam o paciente e o profissional.",Tratado Multidimensional.
Técnico em Enfermagem,Português,4,Erros Comuns na Escrita,Identificar e corrigir falhas comuns que afetam a continuidade do cuidado.,Introdução ao tema: A fragilidade gerada pelos erros de registro.Fundamentação teórica: Concordância nominal e verbal .  Aplicação prática: Correção de gírias e jargões inadequados .  Erros comuns: Ausência ou insuficiência de informações e letra ilegível .  Resumo final: O erro de escrita interrompe a linha do cuidado.,Ilegibilidade; Abreviações.  +2,"Substituir a anotação ""P bem"" para o termo técnico adequado, descrevendo o estado clínico completo.  ","1. Por que é perigoso usar a abreviação ""P"" para paciente sem o devido contexto?.  ",Intermediário,Aula 3,10 minutos,"Abertura: ""O paciente sofre quando a informação falta"" .  +1Explicação didática progressiva: Os perigos da letra ilegível e abreviações soltas .  +2Exemplo prático narrado: O risco de omitir a dose nas anotações .  +2Recapitulação: Informações essenciais: hora, dose, via e reações.  +1Encerramento: Escreva para que todos entendam.",Práticas seguras na administração de medicamentos.
Técnico em Enfermagem,Português,5,Resumo: Comunicação Eficaz,Transitar entre a linguagem técnica (equipe) e a acolhedora (paciente).,Introdução ao tema: A dialética da comunicação na assistência .  Fundamentação teórica: A adequação vocabular.Aplicação prática: Transição entre linguagem técnica e acolhedora .  +1Erros comuns: Usar jargão médico com os familiares.Resumo final: Comunicação de precisão é a espinha dorsal da segurança hospitalar.  +1,Adequação de Linguagem; Segurança do Paciente.  +1,Explicar o quadro para a equipe multiprofissional com termos técnicos e traduzi-lo de forma simples para a família.  +1,1. Explique por que o enfermeiro precisa dominar duas formas diferentes de comunicação na rotina clínica..  +1,Básico,Aula 4,9 minutos,"Abertura: ""A linguagem que acolhe e a linguagem que salva.""Explicação didática progressiva: A espinha dorsal da segurança do paciente .  +1Exemplo prático narrado: A passagem de plantão vs. a conversa no leito.  +1Recapitulação: Adaptabilidade da fala.Encerramento: O domínio verbal é o seu melhor bisturi.",Tratado Multidimensional.  +1
Técnico em Enfermagem,Psicologia,6,O Paciente Biopsicossocial,"Reconhecer a pessoa como ser singular, biopsicossocial e espiritual.","Introdução ao tema: A pessoa em sua totalidade .  Fundamentação teórica: Conceito ampliado de saúde e singularidade .  Aplicação prática: Reconhecer os sentimentos e a capacidade do usuário nas decisões .  Erros comuns: Tratar o paciente apenas como a doença biológica.Resumo final: A saúde integra mente, corpo, contexto social e crenças espirituais.  ",Biopsicossocial; Singularidade.  +1,Envolver o usuário na elaboração do próprio tratamento considerando sua cultura e religião.,1. O que significa prestar um cuidado centrado no ser biopsicossocial e espiritual?.,Básico,Nenhum,11 minutos,"Abertura: ""A doença atinge o corpo, mas quem sofre é a pessoa inteira.""Explicação didática progressiva: O modelo biopsicossocial e a teoria humanizada .  Exemplo prático narrado: Um plano de cuidado que respeita as crenças do usuário.  Recapitulação: Totalidade e necessidades humanas.Encerramento: Enxergue a pessoa, não a patologia.",Guia de habilidades de comunicação.
Técnico em Enfermagem,Psicologia,7,Psicologia e Desenvolvimento,Entender as necessidades das pessoas para promover autonomia e autocuidado.,Introdução ao tema: A relação com o desenvolvimento humano.Fundamentação teórica: Teoria das Necessidades Humanas Básicas .  +1Aplicação prática: Educação do usuário para o autocuidado e apoio aos familiares .  +1Erros comuns: Ignorar as expectativas dos usuários sobre a sua saúde.  Resumo final: Respeitar a capacidade e o momento de cada paciente fortalece o vínculo.,Necessidades Humanas Básicas; Autocuidado.  +1,Permitir que o paciente idoso expresse suas preocupações emocionais antes do procedimento.  +1,1. De que maneira a Teoria de Wanda de Aguiar Horta se reflete na comunicação?.  +1,Intermediário,Aula 6,13 minutos,"Abertura: ""Como o desenvolvimento humano afeta a forma como lidamos com a doença?""Explicação didática progressiva: Autocuidado e Teorias de Enfermagem .  +1Exemplo prático narrado: Adaptando orientações para um idoso crônico.  +1Recapitulação: Incentivando a independência.Encerramento: A autonomia é parte da cura.",Guia de Habilidades de Comunicação.  +1
Técnico em Enfermagem,Psicologia,8,A Relação e a Escuta,Desenvolver técnicas de escuta ativa e uso do silêncio terapêutico.,Introdução ao tema: O poder do silêncio na relação terapêutica.Fundamentação teórica: Habilidade de escuta ativa e silêncio .  +1Aplicação prática: Controlar os próprios sentimentos para conseguir ouvir e observar o indivíduo .  +2Erros comuns: Falar demais e ouvir menos durante o atendimento .  +1Resumo final: O silêncio dá tempo ao paciente para organizar os pensamentos.  +1,Escuta ativa; Silêncio terapêutico.  +2,"Fazer uma pausa intencional após dar um diagnóstico, aguardando o paciente processar e falar.  +2",1. Por que o silêncio é considerado uma técnica ativa de comunicação em enfermagem?.  +1,Alto,Aula 7,15 minutos,"Abertura: ""Às vezes, a melhor intervenção é simplesmente ficar em silêncio.""Explicação didática progressiva: O silêncio como ferramenta e a falha de falar demais .  +1Exemplo prático narrado: Uma escuta qualificada sem interrupções.  Recapitulação: Dar tempo ao outro.Encerramento: O silêncio acolhe.",Guia de Habilidades de Comunicação.
Técnico em Enfermagem,Psicologia,9,Falhas no Acolhimento,Identificar abordagens que dificultam o entendimento e a relação de confiança.,Introdução ao tema: Barreiras na comunicação clínica.Fundamentação teórica: Fragmentação de informações .  +1Aplicação prática: Dividir informações complexas em blocos menores .  Erros comuns: Uso de estruturas de frases complexas e excesso de termos técnicos .  +2Resumo final: Muitas informações ditas de uma só vez prejudicam a compreensão do usuário.,Fragmentar e Verificar; Simplicidade.  +2,"Pausar após explicar uma parte do tratamento para checar se o paciente entendeu (""Fragmente e verifique"").  +2","1. Explique a técnica do ""Fragmente e verifique"" e sua utilidade na comunicação.  +2",Intermediário,Aula 8,12 minutos,"Abertura: ""O excesso de informação pode ser tão prejudicial quanto a falta dela.""Explicação didática progressiva: O medo de parecer ignorante frente aos jargões .  +1Exemplo prático narrado: A técnica do bloco de informações (Fragmente e verifique).  Recapitulação: Evitando a sobrecarga cognitiva do paciente.Encerramento: Fale aos poucos, e sempre cheque o entendimento.",Guia de Habilidades.  +1
Técnico em Enfermagem,Psicologia,10,Resumo: Cuidado Psicológico,"Compreender protocolos de manejo emocional, como o SPIKES e o NURSE.","Introdução ao tema: Gerenciando emoções em cenários difíceis.Fundamentação teórica: Protocolos SPIKES e NURSE .  +1Aplicação prática: Nomear a emoção, demonstrar empatia e validar as respostas .  +1Erros comuns: Fornecer mais de três informações por vez em momentos críticos .  Resumo final: Reconhecer e aceitar a angústia do paciente é o pilar da enfermagem empática.  +2",Protocolo SPIKES; Método NURSE.  +1,"Usar o ""N"" de Naming (nomeando) do método NURSE para validar a tristeza de um familiar.  ",1. Quais são as 6 etapas do protocolo SPIKES para dar notícias difíceis?.,Alto,Aula 9,15 minutos,"Abertura: ""Como comunicar uma notícia que mudará a vida de alguém para sempre?""Explicação didática progressiva: Passo a passo do protocolo SPIKES .  Exemplo prático narrado: Acolhendo as reações emocionais e o silêncio .  Recapitulação: O método NURSE para angústia emocional.  +1Encerramento: A técnica apoia o seu lado humano.",Guia de Habilidades de Comunicação.  +1
