Curso,Disciplina,Ementa,Conteudo_Programatico
TÉCNICO EM ENFERMAGEM,Português,"Aprimoramento da comunicação escrita e
oral para uso no ambiente de saúde.",Leitura e interpretação de textos | técnicos | Redação de documentos e relatórios de | enfermagem | Ortografia e gramática aplicadas | Comunicação em equipe | multiprofissional | Vocabulário técnico da saúde
TÉCNICO EM ENFERMAGEM,Psicologia,"Estudo do comportamento humano e suas
implicações na assistência à saúde.",Conceitos básicos de psicologia | Desenvolvimento humano | Relação paciente-profissional | Aspectos psicológicos do adoecimento | Técnicas de escuta ativa
TÉCNICO EM ENFERMAGEM,Ética Profissional,"Princípios éticos e legais que norteiam a
prática da enfermagem.",Código de Ética dos Profissionais de | Enfermagem | Direitos e deveres do profissional | Sigilo e confidencialidade | Responsabilidade civil e criminal | Postura profissional e humanização
TÉCNICO EM ENFERMAGEM,Anatomia e Fisiologia I,"Estudo da estrutura e funcionamento do
corpo humano com foco nos sistemas
básicos.",Sistema tegumentar | Sistema esquelético | Sistema muscular | Sistema nervoso
TÉCNICO EM ENFERMAGEM,Anatomia e Fisiologia II,"Continuação do estudo do corpo humano
com foco em sistemas vitais.",Sistema cardiovascular | Sistema respiratório | Sistema digestório | Sistema urinário | Sistema reprodutor
TÉCNICO EM ENFERMAGEM,"Microbiologia e
Parasitologia","Estudo dos microrganismos e parasitas de
importância médica.",Classificação dos microrganismos | Principais parasitoses | Métodos de controle e prevenção | Noções de biossegurança
TÉCNICO EM ENFERMAGEM,Fundamentos da Saúde,"Conceitos e práticas para promoção,
prevenção e recuperação da saúde.",Níveis de atenção à saúde | Prevenção de doenças e promoção da | saúde | Indicadores de saúde
TÉCNICO EM ENFERMAGEM,"Fundamentos da
Enfermagem I","Princípios básicos da prática de
enfermagem e assistência ao paciente.",Higiene e conforto do paciente | Controle de sinais vitais | Administração de medicamentos | Coleta de material para exames | Prevenção de infecções
TÉCNICO EM ENFERMAGEM,"Fundamentos da
Enfermagem II","Aprofundamento das técnicas de
enfermagem e cuidados especializados.",Curativos e cuidados com feridas | Assistência ao paciente acamado | Técnicas de imobilização | Preparo para exames e cirurgias | Monitoramento clínico
TÉCNICO EM ENFERMAGEM,"Enfermagem e Saúde
Coletiva","Atuação da enfermagem na atenção básica
e em programas de saúde pública.",Organização da atenção básica | Vacinação e imunização | Ações de prevenção e educação em | saúde | Vigilância epidemiológica | Atendimento em campanhas de saúde
TÉCNICO EM ENFERMAGEM,"Enfermagem Materno
Infantil","Assistência de enfermagem à saúde da
mulher, gestante, criança e recém-nascido.",Pré-natal e puerpério | Atenção ao parto e pós-parto | Aleitamento materno | Cuidados com o recém-nascido | Doenças comuns na infância
TÉCNICO EM ENFERMAGEM,"Enfermagem nas
Intercorrências Clínicas","Assistência ao paciente em situações
clínicas emergenciais.",Atendimento inicial ao paciente | Reconhecimento de sinais de gravidade | Suporte básico de vida | Administração de medicamentos em | urgência | Comunicação com equipe de | emergência
TÉCNICO EM ENFERMAGEM,"Enfermagem nas
Intercorrências
Cirúrgicas","Cuidados pré, trans e pós-operatórios.",Preparo do paciente para cirurgia | Instrumentação cirúrgica | Cuidados na recuperação anestésica | Controle de infecções no centro | cirúrgico | Assistência no pós-operatório
TÉCNICO EM ENFERMAGEM,"Enfermagem em Saúde
Mental e Psiquiátrica","Cuidados de enfermagem em saúde mental
e atenção psicossocial.",Transtornos mentais mais comuns | Abordagem terapêutica | Atuação em CAPS e instituições | psiquiátricas
TÉCNICO EM ENFERMAGEM,"Enfermagem na
Assistência a Pacientes
em Estado Grave","Atendimento a pacientes em unidades de
terapia intensiva.",Monitoramento contínuo | Uso de equipamentos de suporte | avançado | Administração de medicamentos de alta | complexidade | Assistência ventilatória | Registro e evolução do paciente crítico
TÉCNICO EM ENFERMAGEM,"Administração de
Unidades de
Enfermagem","Gestão e organização de serviços de
enfermagem.",Dimensionamento de pessoal | Escalas de trabalho | Controle de materiais e medicamentos | Normas e rotinas | Avaliação de desempenho da equipe
TÉCNICO EM ENFERMAGEM,Matemática Aplicada,"Aplicação de conceitos matemáticos em
cálculos de enfermagem.",Regra de três simples e composta | Porcentagem e proporção | Cálculo de doses de medicamentos | Conversão de unidades | Cálculos de gotejamento
TÉCNICO EM ENFERMAGEM,Método de Pesquisa,"Metodologias científicas aplicadas à área da
saúde.",Etapas do método científico | Tipos de pesquisa em saúde | Coleta e análise de dados | Estrutura de trabalhos acadêmicos | Normas da ABNT
TÉCNICO EM ENFERMAGEM,"Prática Profissional e
Atendimento Básico à
Saúde","Atividades práticas supervisionadas em
serviços de saúde.",Atendimento a diferentes públicos | Aplicação de protocolos clínicos | Registro de informações no prontuário | Acompanhamento de procedimentos | Apoio em campanhas e ações de saúde
TÉCNICO EM ENFERMAGEM,Letramento Digital,"Uso de ferramentas digitais no contexto da
enfermagem.",Introdução à informática em saúde | Sistemas de prontuário eletrônico | Busca de informações científicas online | Segurança e ética no uso de dados | Ferramentas colaborativas
