Curso,Disciplina,Ementa,Conteudo_Programatico
TÉCNICO EM ADMINISTRAÇÃO,Introdução à Administração,"Apresenta a evolução histórica da
Administração, suas funções
básicas, princípios e o papel do
administrador nas organizações.","Origem e evolução da Administração | Principais teorias administrativas | Funções da Administração: planejar, | organizar, dirigir e controlar | Estruturas organizacionais | O papel e as habilidades do | administrador"
TÉCNICO EM ADMINISTRAÇÃO,"Administração
Contemporânea","Estudo das tendências modernas de
gestão e dos novos modelos
organizacionais voltados para
competitividade e inovação.",Mudanças no ambiente empresarial | Modelos de gestão contemporâneos | Cultura organizacional e gestão de | mudanças | Liderança transformacional | Inovação como diferencial competitivo
TÉCNICO EM ADMINISTRAÇÃO,"Administração de Recursos
Humanos","Estudo das políticas e práticas de
gestão de pessoas, visando a
atração, desenvolvimento e retenção
de talentos.","Planejamento de recursos humanos | Recrutamento e seleção | Treinamento e desenvolvimento | Avaliação de desempenho | Cargos, salários e benefícios"
TÉCNICO EM ADMINISTRAÇÃO,Matemática Básica,"Revisão de conceitos matemáticos
fundamentais aplicados à
administração e à resolução de
problemas do cotidiano
empresarial.",Operações básicas | Frações e porcentagens | Regra de três simples e composta | Equações de 1º e 2º grau | Aplicações em finanças e estoques
TÉCNICO EM ADMINISTRAÇÃO,Produção de Estoque,"Planejamento, controle e gestão de
estoques, com foco em eficiência
operacional e redução de custos.","Tipos de estoque | Sistemas de controle (FIFO, LIFO) | Inventário físico e rotativo | Níveis de estoque: mínimo, máximo e | de segurança | Ferramentas informatizadas de gestão | de estoque"
TÉCNICO EM ADMINISTRAÇÃO,Marketing,"Conceitos e estratégias de
marketing para posicionamento
competitivo e atendimento às
necessidades do consumidor.",Composto mercadológico (4Ps) | Comportamento do consumidor | Pesquisa de mercado | Posicionamento e diferenciação | Marketing digital e redes sociais
TÉCNICO EM ADMINISTRAÇÃO,Português Instrumental,"Desenvolvimento da comunicação
escrita e leitura crítica, voltadas
para a produção de textos técnicos e
administrativos.",Leitura e interpretação de textos | Ortografia e pontuação | Redação de textos administrativos | Técnicas de síntese
TÉCNICO EM ADMINISTRAÇÃO,Contabilidade Básica,"Fundamentos da contabilidade e
suas aplicações na gestão de
empresas, incluindo registros e
demonstrações contábeis.",Patrimônio e suas variações | Plano de contas | Escrituração contábil | Balancete de verificação | Balanço patrimonial e DRE
TÉCNICO EM ADMINISTRAÇÃO,Relações Pessoais e Liderança,"Estudo das habilidades
interpessoais e do papel da
liderança no ambiente
organizacional.",Comunicação interpessoal | Trabalho em equipe | Estilos de liderança | Motivação e engajamento | Gestão de clima organizacional
TÉCNICO EM ADMINISTRAÇÃO,Direito e Legislação,"Aspectos jurídicos aplicáveis à
administração, com foco em direito
empresarial e trabalhista.",Noções básicas de direito | Direito empresarial | Direito trabalhista | Contratos e jornada de trabalho | Noções de direito tributário
TÉCNICO EM ADMINISTRAÇÃO,Introdução à Estatística,"Conceitos básicos de estatística
aplicados à análise e interpretação
de dados.",População e amostra | Distribuição de frequências | Medidas de tendência central | Medidas de dispersão | Representação gráfica de dados
TÉCNICO EM ADMINISTRAÇÃO,Contabilidade e Custo,"Estudo da contabilidade de custos e
sua aplicação no controle e
planejamento empresarial.",Classificação de custos | Custos fixos e variáveis | Sistemas de custeio | Margem de contribuição | Ponto de equilíbrio
TÉCNICO EM ADMINISTRAÇÃO,Matemática Financeira,"Aplicação de conceitos matemáticos
à análise de operações financeiras.",Juros simples e compostos | Descontos | Taxas equivalentes | Sistemas de amortização | Valor presente e futuro
TÉCNICO EM ADMINISTRAÇÃO,Gestão Empresarial,"Princípios e práticas da gestão
integrada das áreas de uma
organização.",Planejamento estratégico | Gestão de processos | Estrutura organizacional | Tomada de decisão | Indicadores de desempenho
TÉCNICO EM ADMINISTRAÇÃO,Informática,"Utilização de ferramentas de
informática aplicadas ao ambiente
empresarial.",Pacote Office aplicado à gestão | Planilhas eletrônicas | Noções de redes e internet | Segurança da informação
TÉCNICO EM ADMINISTRAÇÃO,Estatística Aplicada,"Aplicação de métodos estatísticos à
tomada de decisão empresarial.",Análise de séries temporais | Correlação e regressão
TÉCNICO EM ADMINISTRAÇÃO,Método de Pesquisa,"Metodologias científicas aplicadas à
elaboração de trabalhos acadêmicos
e técnicos.",Tipos de pesquisa | Etapas do método científico | Coleta e análise de dados | Estrutura de trabalhos acadêmicos | Normas da ABNT
