Curso,Disciplina,Ementa,Conteudo_Programatico
TÉCNICO EM ORATÓRIA,"Comunicação Verbal e
Não Verbal","Estudo dos elementos da comunicação
verbal e não verbal, considerando seus
efeitos nos processos comunicativos em
ambientes sociais e profissionais. Análise
de gestos, expressões faciais, postura,
tom de voz e barreiras de comunicação.","Elementos da comunicação humana. | Códigos verbais e não verbais. | Gestos, expressões faciais e postura. | Tom de voz, ritmo, volume e entonação. | Barreiras de comunicação e estratégias de superação."
TÉCNICO EM ORATÓRIA,"Fundamentos da
Oratória","Abordagem histórica e conceitual da
oratória, tipos de discurso, perfil do
orador e estruturação de falas. Ênfase na
ética da comunicação e na adaptação da
linguagem ao público.","História da oratória: da retórica clássica à comunicação moderna. | Tipos de discurso: informativo, persuasivo, motivacional. | Planejamento e estruturação de falas. | O papel do orador e o perfil do público. | Ética e responsabilidade na fala pública."
TÉCNICO EM ORATÓRIA,"Comunicação Escrita e
Argumentação","Técnicas de redação, clareza textual,
coesão e coerência. Construção de
argumentos e elaboração de roteiros para
comunicação oral.",Clareza e coesão textual. | Construção de argumentos sólidos. | Redação de roteiros para fala pública. | Recursos linguísticos para persuasão. | Adequação da linguagem ao público e ao canal.
TÉCNICO EM ORATÓRIA,"Técnica Vocal para Fala
Pública","Desenvolvimento da voz como
instrumento de comunicação. Práticas de
respiração, projeção vocal, articulação e
variação da entonação.",Aparelho fonador e cuidados com a voz. | Exercícios de aquecimento e ressonância. | Respiração diafragmática. | Projeção vocal e articulação. | Variação vocal para ênfase e emoção.
TÉCNICO EM ORATÓRIA,"Expressão Corporal e
Linguagem Gestual","Aprofundamento na linguagem corporal
como suporte à comunicação. Técnicas de
desbloqueio corporal, uso consciente de",Consciência corporal e espaço cênico. | Gestos que reforçam a mensagem. | Desbloqueio corporal e desinibição.
TÉCNICO EM ORATÓRIA,"Respiração, Dicção e
Entonação","Práticas de respiração e dicção para
melhor desempenho vocal. Técnicas de
entonação e pausas com foco na fluidez e
clareza da comunicação oral.","Técnicas respiratórias para controle emocional. | Exercícios de dicção e articulação de palavras. | Treino de entonação, pausas e ênfases. | Uso da respiração para fluidez na fala. | Aplicação prática em leituras e discursos."
TÉCNICO EM ORATÓRIA,"Técnicas de Persuasão e
Influência","Estudo das estratégias de convencimento,
gatilhos mentais e elementos retóricos
utilizados na fala persuasiva. Relações
entre empatia, escuta ativa e
credibilidade.","Conceitos de persuasão, influência e manipulação. | Estratégias de convencimento oral. | Gatilhos mentais e recursos retóricos. | Empatia, rapport e escuta ativa. | Credibilidade e autoridade do orador."
TÉCNICO EM ORATÓRIA,"Contação de Histórias e
Storytelling","Aplicação da narrativa oral como
ferramenta de engajamento e retenção
de atenção. Estrutura do storytelling e sua
expressividade.","Narrativas como ferramenta de comunicação. | Estrutura do storytelling: início, conflito, clímax, resolução. | Elementos de uma boa história: personagem, cenário, emoção. | Aplicações do storytelling em apresentações. | Expressividade vocal e gestual na narrativa oral."
TÉCNICO EM ORATÓRIA,"Oratória no Ambiente
Corporativo","Aplicação da oratória em contextos
organizacionais. Técnicas para
apresentações profissionais, liderança,
comunicação em reuniões e entrevistas.","Apresentações em reuniões e eventos. | Briefings, relatórios orais e pitches. | Oratória para liderança e motivação de equipes."
TÉCNICO EM ORATÓRIA,"Inteligência Emocional
aplicada à Oratória","Conceitos de inteligência emocional
aplicados à comunicação.
Autoconhecimento, empatia,
autorregulação e sua influência na
performance oral.",Autoconhecimento e autopercepção na comunicação. | Gestão de emoções em situações de exposição. | Empatia e leitura do público. | Regulação emocional e autocontrole. | Relação entre emoção e desempenho comunicativo.
TÉCNICO EM ORATÓRIA,"Controle do Medo de
Falar em Público","Técnicas para superação da ansiedade e
do medo de falar em público. Estratégias
de enfrentamento e exposição
progressiva.","Fatores psicológicos da ansiedade ao falar. | Técnicas para redução da tensão pré- apresentação. | Visualização positiva e ensaio mental. | Exposição gradual e técnicas de dessensibilização. | Segurança, naturalidade e presença de palco."
TÉCNICO EM ORATÓRIA,"Uso de Recursos
Audiovisuais na
Comunicação","Utilização de slides, vídeos, imagens e
outros recursos como apoio à fala pública.
Integração entre comunicação oral e
recursos visuais.","Planejamento do uso de slides, imagens e vídeos. | Design e impacto visual nas apresentações. | Sincronização entre orador e recursos visuais. | Equipamentos e ferramentas digitais de apoio. | Cuidados técnicos e boas práticas com o audiovisual."
TÉCNICO EM ORATÓRIA,"Oratória para Vídeos,
Lives e Redes Sociais","Técnicas de oratória adaptadas ao
ambiente digital. Criação de vídeos,
apresentações online e lives. Engajamento
e influência em mídias sociais.",Técnicas de gravação e apresentação em vídeo. | Preparação de roteiros para vídeos curtos e longos. | Postura e expressividade diante da câmera.
